# R-2 BINDER-side variant verdicts (2026-07-24) - second disposition pass, per the frame
# correction (top of variant_batch_verdicts.txt). Axis: ENTITY BINDS, target map =
# entity_resolution.VARIANT_ALIASES (NOT scripts/tipnr_alias_variants.py).
# Bind standard per pair: the target entity's own reference list contains the attested verse,
# checked via the PRODUCTION binder code (entity_resolution.parse_tipnr + build_indexes).
# WHY THIS PASS IS LOW-RISK (number-guard property, asserted per reviewer condition): a
# VARIANT_ALIASES entry only ever ADDS a fuzzy candidate; the binder renders a fuzzy bind only
# when the word's stored Strong's number ALSO sits in the entity's own number set AND the verse
# is in the entity's reference list; ties floor as HOT. An imperfect entry can only leave a word
# floored - it cannot attach a wrong card.
# Sub-batches: NEW-SESSION = pairs first dispositioned 2026-07-24; R1-REVISIT = the pairs whose
# importer-map entries shipped in R-1 (decision lines in alias_decisions.txt), now getting their
# binder-side look (reviewer condition 3).
# ACCEPT-CROSS = surface is an exact TIPNR spelling of a different same-family entity; the alias
# adds the ref-matched entity as an extra guarded candidate (jehoram/joram class).
# batch | surface | example ref | target entity head | verdict | reason
R1-REVISIT | abadon | 1Ch 9:36 | abdon | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
NEW-SESSION | sallai | Neh 12:20 | sallu | ACCEPT-CROSS | surface is already a TIPNR spelling of a DIFFERENT entity (exact path floors on verse mismatch); alias adds the ref-matched entity as a number-guarded fuzzy candidate
NEW-SESSION | salma | 1Ch 2:11 | salmon | ACCEPT-CROSS | surface is already a TIPNR spelling of a DIFFERENT entity (exact path floors on verse mismatch); alias adds the ref-matched entity as a number-guarded fuzzy candidate
NEW-SESSION | samaritan | Joh 4:9 | samaria | KILL | gentilic class - ruled floor-stays (pile U group-entity work); carries over from the number-side verdicts
R1-REVISIT | samiah | Gen 36:36 | samlah | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
R1-REVISIT | sanaballat | Neh 2:19 | sanballat | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
R1-REVISIT | saraiah | Jer 36:26 | seraiah | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
NEW-SESSION | saul | Gen 36:37 | shaul | ACCEPT-CROSS | surface is already a TIPNR spelling of a DIFFERENT entity (exact path floors on verse mismatch); alias adds the ref-matched entity as a number-guarded fuzzy candidate
R1-REVISIT | secundos | Act 20:4 | secundus | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
R1-REVISIT | seriah | 2Sa 8:17 | seraiah | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
R1-REVISIT | shahazinah | Jos 19:22 | shahazumah | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
R1-REVISIT | shalitha | 1Sa 9:4 | shalishah | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
NEW-SESSION | shamer | 1Ch 6:46 | shemer | KILL | surface maps to 2 different entity heads in the file - one alias slot cannot hold both; the audit ruled this multi-candidate class floor-stays
NEW-SESSION | shamer | 1Ch 7:34 | shomer | KILL | surface maps to 2 different entity heads in the file - one alias slot cannot hold both; the audit ruled this multi-candidate class floor-stays
NEW-SESSION | shammuah | 2Sa 5:14 | shammua | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
R1-REVISIT | shearaiah | 1Ch 8:38 | sheariah | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
NEW-SESSION | shechaniah | Neh 12:3 | shebaniah | KILL | surface maps to 2 different entity heads in the file - one alias slot cannot hold both; the audit ruled this multi-candidate class floor-stays
NEW-SESSION | shechaniah | 1Ch 3:21 | shecaniah | KILL | surface maps to 2 different entity heads in the file - one alias slot cannot hold both; the audit ruled this multi-candidate class floor-stays
NEW-SESSION | shelomith | 1Ch 23:9 | shelomoth | ACCEPT-CROSS | surface is already a TIPNR spelling of a DIFFERENT entity (exact path floors on verse mismatch); alias adds the ref-matched entity as a number-guarded fuzzy candidate
R1-REVISIT | shemei | Ezr 10:23 | shimei | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
R1-REVISIT | shemiah | 1Ch 9:16 | shemaiah | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
NEW-SESSION | shemuel | 1Ch 6:33 | samuel | ACCEPT-CROSS | surface is already a TIPNR spelling of a DIFFERENT entity (exact path floors on verse mismatch); alias adds the ref-matched entity as a number-guarded fuzzy candidate
R1-REVISIT | sherezar | Zec 7:2 | sharezer | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
NEW-SESSION | shetharboznai | Ezr 5:3 | shethar-bozenai | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
R1-REVISIT | shihon | Jos 19:19 | shion | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
R1-REVISIT | shimiramoth | 1Ch 15:20 | shemiramoth | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
R1-REVISIT | shittin | Jos 2:1 | shittim | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
NEW-SESSION | shochoh | 1Sa 17:1 | socoh | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
R1-REVISIT | soccoth | Num 33:5 | succoth | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
NEW-SESSION | socho | 1Ch 4:18 | soco | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
NEW-SESSION | sochoh | 1Ki 4:10 | socoh | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
R1-REVISIT | sopator | Act 20:4 | sopater | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
R1-REVISIT | sushan | Dan 8:2 | susa | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
NEW-SESSION | syrian | 1Ch 18:5 | syria | KILL | gentilic class - ruled floor-stays (pile U group-entity work); carries over from the number-side verdicts
R1-REVISIT | tabaoth | Ezr 2:43 | tabbaoth | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
R1-REVISIT | tahapanhes | Jer 2:16 | tahpanhes | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
R1-REVISIT | tapphuah | Jos 15:34 | tappuah | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
R1-REVISIT | tappua | 1Ch 2:43 | tappuah | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
R1-REVISIT | tekoe | 1Ch 4:5 | tekoa | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
R1-REVISIT | telmon | Ezr 2:42 | talmon | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
NEW-SESSION | tharshish | 1Ch 7:10 | tarshish | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
R1-REVISIT | tirah | 1Ch 4:16 | tiria | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
R1-REVISIT | tishbon | 1Ki 17:1 | tishbe | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
NEW-SESSION | uzza | 1Ch 6:29 | uzzah | ACCEPT-CROSS | surface is already a TIPNR spelling of a DIFFERENT entity (exact path floors on verse mismatch); alias adds the ref-matched entity as a number-guarded fuzzy candidate
R1-REVISIT | zarthan | 1Ki 7:46 | zarethan | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
NEW-SESSION | zeboim | 1Sa 13:18 | zeboim_valley | ACCEPT-CROSS | surface is already a TIPNR spelling of a DIFFERENT entity (exact path floors on verse mismatch); alias adds the ref-matched entity as a number-guarded fuzzy candidate
NEW-SESSION | zechri | 2Ch 28:7 | zichri | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
R1-REVISIT | zereah | Neh 11:29 | zorah | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
R1-REVISIT | zibeah | 2Ch 24:1 | zibiah | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
NEW-SESSION | zilthai | 1Ch 8:20 | zillethai | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
R1-REVISIT | zobedah | 1Ch 4:8 | zobebah | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
