# R-2 variant-batch verdicts (2026-07-24) - per-pair eyeball, filter of record per JP ruling.
# Working set: docs/tickets/variant_batch_candidates.txt (233 unique pairs / 391 rows; 352 count superseded).
# Method: every pair checked against TIPNR.txt via the PRODUCTION parser (import_tipnr.parse_tipnr) -
#   target's number, ref-match of the example verse inside the entity's record block, and whether the
#   surface already resolves or was dropped-ambiguous by the loader. Ladder fact that drives most kills:
#   direct lookup of the surface runs BEFORE the variant map, so a surface already in the lookup makes
#   the map entry unreachable.
# Verdicts: ACCEPT 11, MERGED 1, KILL 82, SHIPPED 139 (of 233 candidate lines)
# NOTE on the KILL/already-resolves class: these surfaces resolve since the R-1 loader fix. If any of
#   their rows are STILL number-only after the R-1 rebuild, the failure is in the word cell (possessive/
#   plural/split), not the alias map - re-derive that list from a post-R-1 numonly dump in stage 1.
# surface | example ref | candidate key | number delivered | verdict | reason
abadon | 1Ch 9:36 | abdon | H5658 | SHIPPED | identical entry already in the R-1 variant map (hand-checked then)
saraiah | Jer 36:26 | seraiah | H8304 | SHIPPED | identical entry already in the R-1 variant map (hand-checked then)
saul | Gen 36:37 | shaul | H7586 | KILL | surface already resolves directly in the TIPNR lookup to the same number (H7586); the ladder finds it before the variant map is ever consulted - entry would be dead code
secundos | Act 20:4 | secundus | G4580 | SHIPPED | identical entry already in the R-1 variant map (hand-checked then)
seriah | 2Sa 8:17 | seraiah | H8304 | SHIPPED | identical entry already in the R-1 variant map (hand-checked then)
shahazinah | Jos 19:22 | shahazumah | H7831 | SHIPPED | identical entry already in the R-1 variant map (hand-checked then)
shalitha | 1Sa 9:4 | shalishah | H8031 | SHIPPED | identical entry already in the R-1 variant map (hand-checked then)
shamer | 1Ch 6:46 | shemer | H8106 | KILL | surface already resolves directly in the TIPNR lookup to the same number (H8106); the ladder finds it before the variant map is ever consulted - entry would be dead code
shamer | 1Ch 7:34 | shomer | H7763 | KILL | surface already resolves directly to H8106 (its own TIPNR identity), so the ladder never reaches the variant map; aliasing to shomer could also change an established resolution if the direct hit were ever removed - unsafe and unreachable
shammuah | 2Sa 5:14 | shammua | H8051 | KILL | surface already resolves directly in the TIPNR lookup to the same number (H8051); the ladder finds it before the variant map is ever consulted - entry would be dead code
shearaiah | 1Ch 8:38 | sheariah | H8187 | SHIPPED | identical entry already in the R-1 variant map (hand-checked then)
shechaniah | Neh 12:3 | shebaniah | H7645 | KILL | surface already resolves directly to H7935 (its own TIPNR identity), so the ladder never reaches the variant map; aliasing to shebaniah could also change an established resolution if the direct hit were ever removed - unsafe and unreachable
shechaniah | 1Ch 3:21 | shecaniah | H7935 | KILL | surface already resolves directly in the TIPNR lookup to the same number (H7935); the ladder finds it before the variant map is ever consulted - entry would be dead code
shelomith | 1Ch 23:9 | shelomoth | H8013 | KILL | surface already resolves directly to H8019 (its own TIPNR identity), so the ladder never reaches the variant map; aliasing to shelomoth could also change an established resolution if the direct hit were ever removed - unsafe and unreachable
shemei | Ezr 10:23 | shimei | H8096 | SHIPPED | identical entry already in the R-1 variant map (hand-checked then)
shemiah | 1Ch 9:16 | shemaiah | H8098 | SHIPPED | identical entry already in the R-1 variant map (hand-checked then)
shemuel | 1Ch 6:33 | samuel | H8050 | KILL | surface already resolves directly in the TIPNR lookup to the same number (H8050); the ladder finds it before the variant map is ever consulted - entry would be dead code
sherezar | Zec 7:2 | sharezer | H8272 | SHIPPED | identical entry already in the R-1 variant map (hand-checked then)
shetharboznai | Ezr 5:3 | shethar-bozenai | H8370 | ACCEPT | new entry: surface unresolvable by the loader, single TIPNR owner, ref-match at the attested verse
shihon | Jos 19:19 | shion | H7866 | SHIPPED | identical entry already in the R-1 variant map (hand-checked then)
shimiramoth | 1Ch 15:20 | shemiramoth | H8070 | SHIPPED | identical entry already in the R-1 variant map (hand-checked then)
shittin | Jos 2:1 | shittim | H7851 | SHIPPED | identical entry already in the R-1 variant map (hand-checked then)
shochoh | 1Sa 17:1 | socoh | H7755 | KILL | surface already resolves directly in the TIPNR lookup to the same number (H7755); the ladder finds it before the variant map is ever consulted - entry would be dead code
soccoth | Num 33:5 | succoth | H5523 | SHIPPED | identical entry already in the R-1 variant map (hand-checked then)
socho | 1Ch 4:18 | soco | H7755 | KILL | surface already resolves directly in the TIPNR lookup to the same number (H7755); the ladder finds it before the variant map is ever consulted - entry would be dead code
sochoh | 1Ki 4:10 | socoh | H7755 | KILL | surface already resolves directly in the TIPNR lookup to the same number (H7755); the ladder finds it before the variant map is ever consulted - entry would be dead code
sopator | Act 20:4 | sopater | G4986 | SHIPPED | identical entry already in the R-1 variant map (hand-checked then)
sushan | Dan 8:2 | susa | H7800 | SHIPPED | identical entry already in the R-1 variant map (hand-checked then)
syrian | 1Ch 18:5 | syria | H758 | KILL | loader drops this spelling as ambiguous: TIPNR gives it more than one number (gentilic Group rows carry their own number, distinct from the place). A map entry would hand it a single number TIPNR itself refuses. Gentilics route to Pile U (Group-entity binds) in R-2 proper
tabaoth | Ezr 2:43 | tabbaoth | H2884 | SHIPPED | identical entry already in the R-1 variant map (hand-checked then)
tahapanhes | Jer 2:16 | tahpanhes | H8471 | SHIPPED | identical entry already in the R-1 variant map (hand-checked then)
tapphuah | Jos 15:34 | tappuah | H8599 | SHIPPED | identical entry already in the R-1 variant map (hand-checked then)
tappua | 1Ch 2:43 | tappuah | H8599 | SHIPPED | identical entry already in the R-1 variant map (hand-checked then)
tekoe | 1Ch 4:5 | tekoa | H8620 | SHIPPED | identical entry already in the R-1 variant map (hand-checked then)
telmon | Ezr 2:42 | talmon | H2929 | SHIPPED | identical entry already in the R-1 variant map (hand-checked then)
tharshish | 1Ch 7:10 | tarshish | H8659 | KILL | surface already resolves directly in the TIPNR lookup to the same number (H8659); the ladder finds it before the variant map is ever consulted - entry would be dead code
tirah | 1Ch 4:16 | tiria | H8493 | SHIPPED | identical entry already in the R-1 variant map (hand-checked then)
tishbon | 1Ki 17:1 | tishbe | H8453 | SHIPPED | identical entry already in the R-1 variant map (hand-checked then)
uzza | 1Ch 6:29 | uzzah | H5798 | KILL | surface already resolves directly in the TIPNR lookup to the same number (H5798); the ladder finds it before the variant map is ever consulted - entry would be dead code
zarthan | 1Ki 7:46 | zarethan | H6891 | SHIPPED | identical entry already in the R-1 variant map (hand-checked then)
zeboim | 1Sa 13:18 | zeboim_valley | H6650 | KILL | surface already resolves directly in the TIPNR lookup to the same number (H6650); the ladder finds it before the variant map is ever consulted - entry would be dead code
zechri | 2Ch 28:7 | zichri | H2147 | ACCEPT | new entry: surface unresolvable by the loader, single TIPNR owner, ref-match at the attested verse
zereah | Neh 11:29 | zorah | H6881 | SHIPPED | identical entry already in the R-1 variant map (hand-checked then)
zibeah | 2Ch 24:1 | zibiah | H6645 | SHIPPED | identical entry already in the R-1 variant map (hand-checked then)
zilthai | 1Ch 8:20 | zillethai | H6769 | KILL | surface already resolves directly in the TIPNR lookup to the same number (H6769); the ladder finds it before the variant map is ever consulted - entry would be dead code
zobedah | 1Ch 4:8 | zobebah | H6637 | SHIPPED | identical entry already in the R-1 variant map (hand-checked then)
